COMMAND                               PID              USER   FD      TYPE         NODE NAME
systemd-journal                       226              root  mem       REG    144206 /usr/lib/x86_64-linux-gnu/liblz4.so.1.9.2
systemd-journal                       226              root  mem       REG    144168 /usr/lib/x86_64-linux-gnu/libkmod.so.2.3.5
systemd-journal                       226              root  mem       REG    144128 /usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0
systemd-journal                       226              root  mem       REG    144115 /usr/lib/x86_64-linux-gnu/libidn2.so.0.3.6
systemd-journal                       226              root  mem       REG    143871 /usr/lib/x86_64-linux-gnu/libgcrypt.so.20.2.5
systemd-journal                       226              root  mem       REG    143654 /usr/lib/x86_64-linux-gnu/libcryptsetup.so.12.5.0
systemd-journal                       226              root  mem       REG    143651 /usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0
systemd-journal                       226              root  mem       REG    143592 /usr/lib/x86_64-linux-gnu/libcap.so.2.32
systemd-journal                       226              root  mem       REG    143548 /usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
systemd-journal                       226              root  mem       REG    143459 /usr/lib/x86_64-linux-gnu/libacl.so.1.1.2253
systemd-journal                       226              root  mem       REG    144570 /usr/lib/x86_64-linux-gnu/libselinux.so.1
systemd-journal                       226              root  mem       REG    142472 /usr/lib/systemd/libsystemd-shared-245.so
systemd-journal                       226              root  mem       REG    143571 /usr/lib/x86_64-linux-gnu/libc-2.31.so
systemd-journal                       226              root  mem       REG    143357 /usr/lib/x86_64-linux-gnu/ld-2.31.so
systemd-journal                       226              root  mem       REG       293 /run/systemd/journal/kernel-seqnum
systemd-journal                       226              root    0r      CHR            6 /dev/null
systemd-journal                       226              root    1w      CHR            6 /dev/null
systemd-journal                       226              root    2w      CHR            6 /dev/null
systemd-journal                       226              root    3u     SOCK        15194 socket:[15194]
systemd-journal                       226              root    4u     SOCK        15195 socket:[15195]
systemd-journal                       226              root    5u     SOCK        15197 socket:[15197]
systemd-journal                       226              root    6u     SOCK        15199 socket:[15199]
systemd-journal                       226              root    7w      CHR           12 /dev/kmsg
systemd-journal                       226              root    8u  unknown        12123 [eventpoll]
systemd-journal                       226              root    9u      CHR           12 /dev/kmsg
systemd-journal                       226              root   10u     SOCK        15657 socket:[15657]
systemd-journal                       226              root   11r      REG        15658 /proc/sys/kernel/hostname
systemd-journal                       226              root   12u  unknown        12123 [signalfd]
systemd-journal                       226              root   13u  unknown        12123 [signalfd]
systemd-journal                       226              root   14u  unknown        12123 [signalfd]
systemd-journal                       226              root   15u     SOCK        15659 socket:[15659]
systemd-journal                       226              root   16u     SOCK        16778 socket:[16778]
systemd-journal                       226              root   17u  unknown        12123 [timerfd]
systemd-journal                       226              root   18u     SOCK        20359 socket:[20359]
systemd-journal                       226              root   19u     SOCK        38219 socket:[38219]
systemd-journal                       226              root   20u     SOCK        20488 socket:[20488]
systemd-journal                       226              root   21u     SOCK        21149 socket:[21149]
systemd-journal                       226              root   22u     SOCK        21282 socket:[21282]
systemd-journal                       226              root   23u      REG        16528 /var/log/journal/7bc08241232b46239b2465032fb365f3/system.journal
systemd-journal                       226              root   24u     SOCK       221558 socket:[221558]
systemd-journal                       226              root   25u     SOCK        39560 socket:[39560]
systemd-journal                       226              root   26u     SOCK        21529 socket:[21529]
systemd-journal                       226              root   27u     SOCK        21592 socket:[21592]
systemd-journal                       226              root   28u     SOCK       221718 socket:[221718]
systemd-journal                       226              root   29u     SOCK        21716 socket:[21716]
systemd-journal                       226              root   30u     SOCK        25170 socket:[25170]
systemd-journal                       226              root   31u     SOCK        22316 socket:[22316]
systemd-journal                       226              root   32u     SOCK        24643 socket:[24643]
systemd-journal                       226              root   33u     SOCK        23578 socket:[23578]
systemd-journal                       226              root   34u     SOCK        22486 socket:[22486]
systemd-journal                       226              root   35u     SOCK        22552 socket:[22552]
systemd-journal                       226              root   36u     SOCK        22588 socket:[22588]
systemd-journal                       226              root   37u     SOCK        22657 socket:[22657]
systemd-journal                       226              root   38u     SOCK        26654 socket:[26654]
systemd-journal                       226              root   39u     SOCK        22813 socket:[22813]
systemd-journal                       226              root   40u     SOCK        24303 socket:[24303]
systemd-journal                       226              root   41u     SOCK        31121 socket:[31121]
systemd-journal                       226              root   42u     SOCK        31122 socket:[31122]
systemd-journal                       226              root   43u     SOCK        38257 socket:[38257]
