COMMAND	PID	USER	FD	TYPE	NODE	NAME
systemd-j	226	root	mem	REG	143571	/usr/lib/x86_64-linux-gnu/libc-2.31.so
systemd-j	226	root	mem	REG	143357	/usr/lib/x86_64-linux-gnu/ld-2.31.so
systemd-j	226	root	mem	REG	293	/run/systemd/journal/kernel-seqnum
systemd-j	226	root	0r	CHR	6	/dev/null
systemd-j	226	root	1w	CHR	6	/dev/null
systemd-j	226	root	2w	CHR	6	/dev/null
systemd-j	226	root	3u	netlink	AUDIT	
systemd-j	226	root	4u	unix	15195	/run/systemd/journal/dev-log
systemd-j	226	root	5u	unix	15197	/run/systemd/journal/stdout
systemd-j	226	root	6u	unix	15199	/run/systemd/journal/socket
systemd-j	226	root	7w	CHR	12	/dev/kmsg
systemd-j	226	root	8u	a_inode	12123	[eventpoll]
systemd-j	226	root	9u	CHR	12	/dev/kmsg
systemd-j	226	root	10u	unix	15657	/run/systemd/journal/io.systemd.journal
systemd-j	226	root	11r	REG	15658	/proc/sys/kernel/hostname
systemd-j	226	root	12u	a_inode	12123	[signalfd]
systemd-j	226	root	13u	a_inode	12123	[signalfd]
systemd-j	226	root	14u	a_inode	12123	[signalfd]
systemd-j	226	root	15u	unix	15659	type=DGRAM
systemd-j	226	root	16u	unix	16778	/run/systemd/journal/stdout
systemd-j	226	root	17u	a_inode	12123	[timerfd]
systemd-j	226	root	18u	unix	20359	/run/systemd/journal/stdout
systemd-j	226	root	19u	unix	38219	/run/systemd/journal/stdout
systemd-j	226	root	20u	unix	20488	/run/systemd/journal/stdout
systemd-j	226	root	21u	unix	21149	/run/systemd/journal/stdout
systemd-j	226	root	22u	unix	21282	/run/systemd/journal/stdout
systemd-j	226	root	23u	REG	16528	/var/log/journal/7bc08241232b46239b2465032fb365f3/system.journal
systemd-j	226	root	24u	unix	221558	/run/systemd/journal/stdout
systemd-j	226	root	25u	unix	39560	/run/systemd/journal/stdout
systemd-j	226	root	26u	unix	21529	/run/systemd/journal/stdout
systemd-j	226	root	27u	unix	21592	/run/systemd/journal/stdout
